article_id,article_title,service,category,knowledge_type,user_need,symptoms,user_description_examples,diagnostic_questions,required_information,probable_cause,resolution_steps,workaround,escalation_criteria,priority_guidance,estimated_resolution_time,agent_response_guidance,keywords,owner_role,review_frequency,status,version
KB-001,Redefinição de senha corporativa,Identidade e Acesso,Acesso,Procedimento,O usuário precisa recuperar o acesso a uma conta corporativa quando esquece a senha ou quando a senha expira.,"Mensagem de senha expirada, senha inválida, falha de autenticação ou impossibilidade de acessar e-mail, VPN, portal interno ou aplicação corporativa.",Esqueci minha senha; minha senha expirou; não consigo entrar; o sistema diz que a senha está incorreta.,Qual sistema você está tentando acessar? Você ainda consegue concluir a autenticação multifator? Aparece alguma mensagem de erro? Quando foi o último acesso bem-sucedido?,"E-mail corporativo, sistema afetado, mensagem de erro, disponibilidade do MFA e horário aproximado da última tentativa.","Senha expirada, senha esquecida, credenciais digitadas incorretamente ou política de autenticação exigindo troca de senha.",Orientar o usuário a acessar o portal oficial de redefinição de senha; confirmar que o MFA está disponível; solicitar criação de nova senha conforme política corporativa; pedir novo teste de acesso; registrar chamado se o reset falhar.,"Se o portal de autoatendimento estiver indisponível, registrar chamado para validação manual de identidade pelo suporte de primeiro nível.","Encaminhar para atendimento humano quando o MFA estiver indisponível, houver suspeita de comprometimento da conta ou o portal de redefinição apresentar erro.",Média quando afeta apenas um usuário; alta se o usuário estiver totalmente impedido de executar atividade crítica no mesmo dia.,Até 4 horas úteis quando houver MFA; até 1 dia útil quando exigir validação manual.,"Responder com instruções de autoatendimento quando a descrição for clara. Se faltar o sistema afetado ou o status do MFA, fazer perguntas de qualificação antes de registrar o chamado.","senha, acesso, login, autenticação, MFA, reset, credenciais",Service Desk,Trimestral,Published,1.0
KB-002,Conta bloqueada por tentativas inválidas,Identidade e Acesso,Acesso,Erro conhecido,O usuário precisa desbloquear a conta após múltiplas tentativas incorretas de login ou bloqueio por política de segurança.,"Mensagem de conta bloqueada, excesso de tentativas, usuário desativado temporariamente ou bloqueio ao acessar aplicações integradas.",Minha conta bloqueou; tentei várias vezes e não entra; o usuário está travado; aparece conta bloqueada.,Qual sistema informa o bloqueio? Você alterou a senha recentemente? Recebeu algum alerta de segurança? Outras aplicações também estão bloqueadas?,"E-mail corporativo, sistema afetado, horário do bloqueio, mensagem exibida e confirmação sobre atividade suspeita.","Tentativas sucessivas com senha incorreta, senha antiga armazenada em dispositivo, tentativa automatizada ou política de bloqueio de segurança.",Confirmar identidade do usuário conforme procedimento; orientar aguardar desbloqueio automático se previsto; recomendar remoção de senhas antigas salvas; registrar chamado para desbloqueio se houver urgência operacional.,"Aguardar o período de desbloqueio automático e tentar novamente com a senha correta, quando a política permitir.","Escalar para Segurança da Informação se houver tentativas desconhecidas, alertas de login suspeito ou solicitações de MFA não reconhecidas.",Média para bloqueio individual; crítica se houver indício de comprometimento de credenciais.,Até 4 horas úteis; resposta imediata se houver risco de segurança.,Não desbloquear automaticamente sem validação. Coletar evidências e classificar como segurança quando o usuário relatar atividade desconhecida.,"conta bloqueada, usuário bloqueado, login, tentativas, segurança, credenciais",Service Desk,Trimestral,Published,1.0
KB-003,Dispositivo de autenticação multifator indisponível,Identidade e Acesso,Acesso,Procedimento controlado,"O usuário precisa recuperar a capacidade de autenticação quando perde, troca ou não consegue usar o dispositivo de MFA.","Código MFA não recebido, aplicativo autenticador indisponível, celular perdido, token não encontrado ou solicitação de aprovação impossível.",Troquei de celular e perdi o autenticador; não recebo o código; perdi meu telefone; o MFA não funciona.,Você perdeu o dispositivo ou apenas trocou de aparelho? Possui códigos de recuperação? O problema ocorre em todos os sistemas? Há suspeita de acesso indevido?,"E-mail corporativo, método MFA antigo, novo telefone se aplicável, evidência para validação de identidade e sistemas impactados.","Dispositivo perdido, aplicativo removido, troca de aparelho, número desatualizado ou falha no serviço de autenticação.",Registrar solicitação de redefinição de MFA; validar identidade conforme política; remover método antigo apenas após aprovação; cadastrar novo método; solicitar teste de login.,"Utilizar códigos de recuperação previamente autorizados, se existirem e se a política permitir.",Escalar para Gestão de Identidades ou Segurança quando a identidade não puder ser validada ou houver relato de MFA inesperado.,"Alta, pois pode impedir o acesso a todos os sistemas e envolve controle sensível de identidade.",Até 2 horas úteis após validação de identidade.,Criar chamado com prioridade alta e orientar que a alteração do MFA exige validação humana; não prometer reset automático.,"MFA, 2FA, autenticação, token, celular, identidade, segurança",Identity Management,Trimestral,Published,1.0
KB-004,E-mail não envia mensagens,E-mail e Colaboração,E-mail,Solução de incidente,"O usuário precisa restabelecer o envio de mensagens corporativas quando e-mails ficam presos, retornam com erro ou não são entregues.","Mensagem presa na caixa de saída, retorno automático, erro de servidor, falha ao anexar arquivos ou impossibilidade de enviar para um domínio específico.",Meu e-mail não envia; a mensagem fica na caixa de saída; recebi retorno de erro; não consigo enviar anexo.,O erro ocorre com todos os destinatários ou apenas um? Há anexo grande? Você recebeu mensagem de retorno? A internet está funcionando normalmente?,"Conta de e-mail, destinatário ou domínio afetado, mensagem de erro, tamanho do anexo e horário aproximado do envio.","Anexo acima do limite, endereço inválido, problema de conectividade, fila local travada ou restrição no fluxo de e-mail.",Solicitar teste sem anexos; confirmar endereço do destinatário; reiniciar cliente de e-mail; verificar conexão; coletar mensagem de retorno; registrar incidente se persistir.,"Enviar arquivo por repositório corporativo aprovado e compartilhar link, quando permitido pela política.","Escalar para equipe de Mensageria quando vários usuários forem afetados, houver falha com domínio inteiro ou erro de servidor recorrente.",Média para usuário individual; alta se houver impacto em área crítica ou múltiplos usuários.,Até 6 horas úteis para casos individuais; até 4 horas úteis para falha coletiva.,"Se o usuário informar retorno de erro, registrar o texto exato. Se a descrição for vaga, perguntar se o problema é envio, recebimento, anexo ou destinatário específico.","e-mail, envio, caixa de saída, anexo, retorno, mensageria",Messaging Team,Semestral,Published,1.0
KB-005,Caixa de e-mail sem espaço,E-mail e Colaboração,E-mail,Procedimento,O usuário precisa liberar espaço ou solicitar aumento de cota quando a caixa postal atinge o limite permitido.,"Aviso de cota excedida, impossibilidade de receber mensagens, falha de envio por caixa cheia ou lentidão no cliente de e-mail.",Minha caixa está cheia; não recebo e-mails; apareceu limite de armazenamento; preciso de mais espaço no e-mail.,Você recebeu aviso de cota? É possível arquivar mensagens antigas? Há necessidade formal de aumento de cota? A caixa é pessoal ou compartilhada?,"Conta afetada, tamanho aproximado da caixa, mensagem de aviso, justificativa de negócio e aprovação gerencial para aumento de cota.","Acúmulo de mensagens antigas, anexos grandes, política de retenção inadequada ou caixa compartilhada com uso acima do planejado.",Orientar exclusão de mensagens desnecessárias; esvaziar itens excluídos; arquivar mensagens antigas; remover anexos grandes conforme política; registrar solicitação de aumento apenas com justificativa.,"Usar arquivamento corporativo e links para documentos em vez de anexos, quando aplicável.","Encaminhar para Mensageria quando houver pedido de aumento de cota, exceção de retenção ou caixa compartilhada crítica.",Baixa quando há alternativa de limpeza; média se o usuário estiver impedido de receber comunicações essenciais.,Até 1 dia útil para orientação; até 3 dias úteis para alteração de cota aprovada.,Fornecer orientação de limpeza quando a causa for clara e registrar solicitação apenas quando houver justificativa e aprovação necessárias.,"caixa cheia, cota, armazenamento, e-mail, arquivo, anexos",Messaging Team,Semestral,Published,1.0
KB-006,Problemas em reunião por vídeo ou ferramenta de colaboração,Colaboração,Aplicações de colaboração,Solução de incidente,"O usuário precisa participar de reunião, usar áudio, câmera, compartilhamento de tela ou chat em ferramenta corporativa de colaboração.","Câmera não detectada, microfone sem áudio, reunião não abre, tela não compartilha, aplicativo congela ou login falha.",Não consigo entrar na reunião; meu microfone não funciona; a câmera não aparece; o Teams está travando.,"O problema é áudio, vídeo, acesso à reunião ou compartilhamento? Ocorre em todas as reuniões? A versão web funciona? As permissões do dispositivo estão habilitadas?","Ferramenta utilizada, recurso afetado, dispositivo, sistema operacional, mensagem de erro e horário da reunião.","Permissões do sistema operacional, driver de dispositivo, cache do aplicativo, versão desatualizada ou indisponibilidade parcial do serviço.",Verificar permissões de câmera e microfone; reiniciar aplicação; testar versão web; atualizar aplicativo; reiniciar computador; registrar incidente se persistir.,"Usar acesso via navegador, telefone de conferência ou outro dispositivo corporativo aprovado.",Escalar para Suporte de Endpoint se houver suspeita de driver ou hardware; para equipe de colaboração se vários usuários forem afetados.,Média quando afeta reunião importante; baixa quando há alternativa simples; alta em reunião executiva ou operação crítica sem alternativa.,Até 4 horas úteis.,Perguntar qual recurso falhou antes de propor solução. Registrar chamado se o teste via navegador não resolver ou se houver evidência de falha ampla.,"reunião, áudio, microfone, câmera, colaboração, Teams, Zoom, tela",Collaboration Support,Semestral,Published,1.0
KB-007,Falha de conexão Wi-Fi corporativa,Rede Corporativa,Rede,Solução de incidente,O usuário precisa conectar o dispositivo à rede sem fio corporativa ou estabilizar uma conexão com quedas frequentes.,"Rede Wi-Fi não conecta, senha rejeitada, conexão cai, sem internet, SSID não aparece ou sinal muito fraco.",Estou sem Wi-Fi; a internet cai toda hora; meu notebook não conecta na rede; o Wi-Fi da sala não funciona.,Qual rede você está tentando acessar? Em que local está? Outras pessoas próximas também estão com problema? O dispositivo já conectou antes?,"Local físico, nome da rede, tipo de dispositivo, número de usuários afetados e mensagem de erro.","Credencial desatualizada, perfil de rede corrompido, falha de cobertura, ponto de acesso indisponível ou problema no dispositivo.",Confirmar SSID; desligar e religar Wi-Fi; esquecer rede e reconectar; reiniciar dispositivo; testar outra área; registrar incidente com local e impacto se persistir.,"Usar rede cabeada, hotspot corporativo autorizado ou outro local com cobertura, se disponível.","Escalar para equipe de Redes se várias pessoas, uma sala, um andar ou uma unidade forem afetados.","Média para usuário individual; alta quando afeta área, sala de reunião crítica ou múltiplos usuários.",Até 6 horas úteis para usuário individual; até 4 horas úteis para falha coletiva.,Determinar escopo antes da prioridade. Perguntar local e quantidade de usuários afetados sempre que o relato envolver rede.,"Wi-Fi, rede, internet, conexão, SSID, queda, sem fio",Network Team,Semestral,Published,1.0
KB-008,Falha de acesso VPN,Acesso Remoto,Rede,Solução de incidente,O usuário remoto precisa conectar-se à VPN para acessar sistemas internos da organização.,"VPN não conecta, desconecta com frequência, erro de certificado, falha de autenticação, gateway indisponível ou MFA não conclui.",A VPN não conecta; estou sem acesso remoto; a VPN cai; aparece erro de certificado; não consigo entrar na rede da empresa.,A internet funciona fora da VPN? Qual erro aparece? O MFA é concluído? Você está usando a versão atual do cliente VPN?,"Usuário, dispositivo, versão do cliente VPN, código de erro, status da internet, status do MFA e localidade aproximada.","Falha de autenticação, cliente VPN desatualizado, certificado vencido, bloqueio de rede local, problema no gateway ou instabilidade de internet.",Testar internet sem VPN; reiniciar cliente; verificar MFA; atualizar cliente VPN; testar outra rede; registrar incidente com erro e evidências se persistir.,"Usar aplicações em nuvem que não dependem de VPN ou aguardar rede alternativa, quando o processo permitir.","Escalar para Redes quando múltiplos usuários tiverem falha, houver erro de gateway ou certificado corporativo.",Alta quando impede trabalho remoto; crítica se houver indisponibilidade generalizada de acesso remoto.,Até 4 horas úteis para usuário individual; resposta imediata em falha generalizada.,"Coletar o código de erro antes de registrar. Se vários usuários relatarem falha semelhante, classificar como incidente de rede de maior impacto.","VPN, acesso remoto, gateway, certificado, MFA, rede, conexão",Network Team,Trimestral,Published,1.0
KB-009,Indisponibilidade de internet corporativa,Rede Corporativa,Rede,Solução de incidente maior,Usuários precisam recuperar o acesso à internet corporativa quando sites e serviços externos ficam indisponíveis.,"Sites não abrem, navegador apresenta erro, internet fora, acesso externo indisponível, mas serviços internos podem ou não funcionar.",A internet caiu; nenhum site abre; estamos sem acesso externo; a rede da unidade está fora.,Apenas seu dispositivo está afetado ou outras pessoas também? Sistemas internos funcionam? Você está no Wi-Fi ou cabo? Qual localidade está afetada?,"Local, conexão usada, número estimado de usuários afetados, serviços impactados e horário de início.","Falha de provedor, firewall, proxy, roteamento, ponto de acesso, switch ou indisponibilidade de link corporativo.",Determinar escopo; testar acesso a sites diferentes; confirmar serviços internos; coletar localidade; registrar incidente com impacto; acionar equipe de Redes.,"Utilizar link de contingência, rede alternativa autorizada ou remanejamento temporário de atividades, se disponível.","Escalar imediatamente para Redes quando afetar múltiplos usuários, unidade, departamento crítico ou link principal.","Alta para múltiplos usuários; crítica quando interrompe unidade, operação crítica ou serviço essencial.",Até 2 horas úteis para resposta inicial; prazo final depende de provedor ou infraestrutura.,Priorizar perguntas de impacto e escopo. Não tratar como problema individual quando houver relato de vários usuários afetados.,"internet, indisponibilidade, rede, link, provedor, sites, navegação",Network Team,Trimestral,Published,1.0
KB-010,Computador não liga ou não inicia sistema operacional,Dispositivo do Usuário,Hardware,Solução de incidente,"O usuário precisa voltar a usar notebook ou desktop que não liga, não carrega o sistema ou exibe tela preta.","Sem luz de energia, tela preta, mensagem de boot, equipamento reiniciando, bateria sem carga ou fonte não reconhecida.",Meu notebook não liga; a tela está preta; o computador não inicia; aparece erro ao ligar.,Há luz de energia? O carregador está conectado? O equipamento emite sons ou mensagens? Houve queda ou dano físico?,"Patrimônio do equipamento, modelo, local do usuário, estado do carregador, mensagens exibidas e urgência da atividade afetada.","Falha de energia, bateria, carregador, hardware interno, disco, sistema operacional corrompido ou periférico interferindo no boot.",Verificar tomada e carregador; desconectar periféricos; manter botão de energia pressionado por 15 segundos; tentar religar; registrar chamado de hardware se não houver recuperação.,Solicitar equipamento reserva quando a atividade for urgente e houver disponibilidade de inventário.,"Escalar para Suporte de Endpoint quando houver falha física, necessidade de diagnóstico, substituição ou equipamento reserva.",Alta se o usuário está sem equipamento funcional; média se houver dispositivo alternativo disponível.,Até 1 dia útil para atendimento inicial; substituição depende de estoque.,Orientar apenas verificações seguras. Nunca solicitar abertura física do equipamento pelo usuário.,"notebook, computador, não liga, tela preta, hardware, boot, carregador",Endpoint Support,Semestral,Published,1.0
KB-011,Impressora indisponível ou erro de impressão,Impressão,Periféricos,Solução de incidente,"O usuário precisa imprimir documento quando a impressora está offline, com fila travada, atolamento ou sem mapeamento.","Impressora offline, documento preso na fila, atolamento de papel, toner baixo, impressora não aparece ou erro no spooler.",Não consigo imprimir; a impressora está offline; o documento fica na fila; a impressora da sala não funciona.,"Qual é o nome da impressora? Outros usuários conseguem imprimir? Há luz de erro, papel preso ou falta de toner? O erro ocorre em todos os documentos?","Nome da impressora, local, dispositivo do usuário, mensagem de erro, existência de outros afetados e urgência do documento.","Fila de impressão travada, impressora desligada, falha de rede, suprimento esgotado, atolamento ou mapeamento ausente.",Confirmar impressora e local; verificar papel e toner; perguntar se outros usuários imprimem; limpar ou reiniciar fila quando permitido; reinstalar mapeamento; registrar chamado se persistir.,"Usar impressora alternativa autorizada ou enviar documento digitalmente, quando o processo permitir.","Escalar para Suporte de Endpoint, Facilities ou fornecedor quando houver falha física, suprimento ou manutenção.",Baixa para usuário individual; média se impressora compartilhada de área operacional estiver indisponível; alta em processo crítico sem alternativa.,Até 1 dia útil; até 2 dias úteis quando depender de fornecedor ou suprimentos.,Identificar se o problema é individual ou compartilhado. Registrar local e nome da impressora obrigatoriamente.,"impressora, impressão, fila, toner, papel, offline, spooler",Endpoint Support,Semestral,Published,1.0
KB-012,Periférico não funciona,Dispositivo do Usuário,Periféricos,Solução de incidente,"O usuário precisa restaurar o funcionamento de teclado, mouse, monitor, headset, webcam ou outro periférico.","Teclado sem resposta, mouse não move, monitor não detectado, headset sem áudio, webcam indisponível ou conexão USB instável.",Meu teclado não funciona; o monitor não aparece; o mouse parou; o headset está sem som.,"Qual periférico está com problema? Ele é USB, Bluetooth ou sem fio? Você testou outra porta, cabo ou bateria? O periférico funciona em outro computador?","Tipo de periférico, conexão, patrimônio se houver, dispositivo usado, testes realizados e local do usuário.","Cabo desconectado, bateria descarregada, porta USB com falha, driver, pareamento Bluetooth ou defeito físico.",Reconectar periférico; trocar porta USB; verificar bateria; reiniciar computador; testar em outro dispositivo; registrar solicitação de troca ou suporte se persistir.,"Usar periférico reserva, dispositivo integrado do notebook ou estação alternativa enquanto aguarda atendimento.","Escalar para Suporte de Endpoint quando houver defeito físico, necessidade de driver ou substituição de item.",Baixa quando há alternativa; média quando o periférico impede o trabalho do usuário; alta apenas em função crítica sem substituição.,Até 1 dia útil para diagnóstico; substituição depende de estoque.,Oferecer passos simples e seguros. Coletar evidência de teste antes de sugerir substituição.,"teclado, mouse, monitor, headset, webcam, periférico, USB, Bluetooth",Endpoint Support,Semestral,Published,1.0
KB-013,Solicitação de instalação de software,Aplicações e Software,Requisição de Serviço,Procedimento de requisição,O usuário precisa instalar software aprovado ou solicitar avaliação de nova aplicação para uso corporativo.,"Usuário não possui aplicativo necessário, precisa de licença, solicita nova ferramenta ou não consegue instalar por falta de permissão administrativa.",Preciso instalar um programa; preciso de licença; não tenho permissão para instalar; preciso de um software para trabalhar.,Qual software e versão são necessários? Ele já é aprovado pela TI? Existe licença disponível? Há aprovação do gestor? Qual é a justificativa de negócio?,"Nome do software, versão, justificativa, gestor aprovador, patrimônio do equipamento, centro de custo e necessidade de licença.","Usuário sem aplicativo, falta de licença, ausência de pacote homologado, bloqueio por política ou necessidade de aprovação formal.",Verificar catálogo de software aprovado; coletar justificativa; confirmar aprovação; validar licença; registrar requisição de instalação ou avaliação de software.,Usar alternativa corporativa já homologada quando disponível.,Escalar para Gestão de Ativos de Software quando faltar licença ou para Segurança quando a aplicação não for homologada.,Baixa por ser requisição planejada; média quando impacta início de projeto aprovado; alta apenas por exceção operacional justificada.,Até 3 dias úteis para software aprovado; prazo maior para avaliação de nova aplicação.,Não tratar como incidente salvo quando a remoção ou falha de software aprovado interromper serviço existente. Exigir justificativa e aprovação quando necessário.,"software, instalação, licença, aplicativo, programa, homologação, catálogo",Software Asset Management,Semestral,Published,1.0
KB-014,Aplicação corporativa com erro ou travamento,Aplicações de Negócio,Software,Solução de incidente,"O usuário precisa retomar o uso de aplicação corporativa que fecha, trava, apresenta erro ou impede conclusão de tarefa.","Aplicação fecha inesperadamente, tela congela, erro ao salvar, transação falha, relatório não abre ou mensagem técnica aparece.",O sistema está travando; aparece erro no ERP; o aplicativo fecha sozinho; não consigo salvar a operação.,Qual aplicação está afetada? O que você estava fazendo antes do erro? O erro se repete? Outras pessoas também estão afetadas? Há captura de tela?,"Nome da aplicação, mensagem de erro, passos para reproduzir, captura de tela, usuário afetado, quantidade de afetados e criticidade do processo.","Bug de aplicação, cache local, versão desatualizada, erro de configuração, falha de integração ou indisponibilidade parcial do backend.",Coletar evidências; reiniciar aplicação; testar navegador alternativo quando aplicável; limpar cache se autorizado; verificar se outros usuários são afetados; registrar incidente com passos de reprodução.,"Executar processo por aplicação alternativa, navegador diferente ou procedimento manual aprovado, quando existir.","Escalar para Suporte de Aplicações se o erro for reproduzível, afetar múltiplos usuários ou bloquear processo crítico.",Média para usuário individual; alta se processo crítico estiver bloqueado; crítica se aplicação essencial estiver indisponível para muitos usuários.,Até 1 dia útil para triagem; prazo de correção depende da causa técnica.,Coletar passos para reprodução e evidência antes de encaminhar. Prioridade deve considerar processo de negócio e número de usuários afetados.,"aplicação, sistema, erro, travamento, ERP, relatório, transação",Application Support,Trimestral,Published,1.0
